file,precision,recall,f1_score,map0.5,map0.5-0.95,tp,fp,fn,segmentation_time
142,0.4428969359331476,0.8768382352941176,0.5885256014805674,0.36237022030893895,0.22536085084831603,954,1200,134,7.575564384460449
143,0.4302505412929168,0.783661971830986,0.5555111821086262,0.31290948457666673,0.16474425667125944,1391,1842,384,10.915849208831787
144,0.39931951747602845,0.815540113708149,0.5361295681063123,0.32671596884402326,0.15597952928605574,1291,1942,292,11.694500207901001
145,0.41345616973757676,0.746095717884131,0.5320639482665709,0.3006953961727831,0.144792142530836,1481,2101,504,12.142428874969482
146,0.4160489848533677,0.8527080581241744,0.5592376001732727,0.34040371488002813,0.1756804265666657,1291,1812,223,14.84848403930664
147,0.42992518703241894,0.68657905217045,0.528753258702653,0.2735887553842666,0.12146905463613693,1724,2286,787,13.254483938217163
148,0.4216323072578368,0.7763910556422257,0.5464860907759883,0.30664167800569947,0.14781648738158198,1493,2048,430,16.140625
149,0.41742286751361163,0.7371794871794872,0.5330243337195829,0.30358026728262666,0.1368421052631579,1610,2247,574,23.85399842262268
15,0.7134328358208956,0.8951310861423221,0.7940199335548174,0.5837177747625509,0.293112618724559,1195,480,140,3.98832368850708
150,0.42543171114599687,0.7233096085409253,0.5357495881383856,0.30940488083345224,0.13112363826649542,1626,2196,622,22.734561920166016
151,0.4044834307992203,0.8982683982683982,0.5577956989247311,0.3309409888357257,0.18121566542619177,830,1222,94,15.013741254806519
152,0.42218430034129695,0.8154251812788398,0.5563301101866427,0.3454235184610611,0.1753211293825628,1237,1693,280,17.940866470336914
153,0.41010719754977026,0.798926014319809,0.5419955474600283,0.2982597800361966,0.14908534038702492,1339,1926,337,13.092645406723022
154,0.4216533004318322,0.7842799770510613,0.5484453360080241,0.30665694576860525,0.1528349503673378,1367,1875,376,12.767690181732178
155,0.4292767934940459,0.791644349223353,0.5566854990583804,0.3122013043593061,0.1570670398436881,1478,1965,389,12.361663818359375
156,0.41863778854374467,0.7923408845738943,0.5478277083721799,0.3044638462136325,0.14856343428586233,1469,2040,385,23.466429233551025
157,0.4238001683974179,0.778751933986591,0.5488913122500909,0.3082183042890312,0.15362692317505677,1510,2053,429,18.646069049835205
158,0.42111302352266206,0.7871313672922252,0.5486824892543449,0.3062640171073906,0.14595003390184114,1468,2018,397,16.385422229766846
159,0.4077227120705382,0.8073449729078868,0.5418181818181818,0.33359130987589486,0.15130877028110232,1341,1948,320,17.13896632194519
16,0.7062256809338522,0.8506151142355008,0.7717246877491364,0.5778210116731518,0.2948134064379201,1452,604,255,4.313419818878174
160,0.5760249091852621,0.9495295124037639,0.7170542635658914,0.5236590083502383,0.39047978487521817,1110,817,59,17.237457752227783
163,0.4883177570093458,0.9536121673003802,0.6458923512747875,0.44392523364485986,0.27198031719059756,1254,1314,61,21.914533376693726
165,0.5181711606096131,0.9491768074445239,0.6703741152679474,0.47106469146328467,0.32534725922768126,1326,1233,71,18.686798810958862
164,0.49159814086521275,0.9443681318681318,0.6466023983070773,0.44690740078655705,0.28965775018688855,1375,1422,81,24.01442790031433
166,0.5470444211262679,0.9433051869722557,0.6924950188177995,0.497313110114789,0.34372158097236793,1564,1295,94,15.2477445602417
