file,VMD_pred,VMD_gt,VMD_error,VMD_abs_error,RSF_pred,RSF_gt,RSF_error,RSF_abs_error,CoveragePercentage_pred,CoveragePercentage_gt,CoveragePercentage_error,CoveragePercentage_abs_error,NoDroplets_pred,NoDroplets_gt,NoDroplets_error,NoDroplets_abs_error,OtherCoveragePercentage_pred,OtherCoveragePercentage_gt,OtherCoveragePercentage_error,OtherCoveragePercentage_abs_error
280,966.98,442.76,1.1839822928900534,524.22,0.8496349459,0.37,1.2963106645945945,0.4796349459,94.52,20.24,3.6699604743083007,74.28,1624.0,2761.0,0.41180731618978633,1137.0,5.480000000000004,20.24,0.7292490118577073,14.759999999999994
260,740.83,400.39,0.8502709857888561,340.44000000000005,1.291011433,1.03,0.25340915825242716,0.26101143299999996,96.42,11.35,7.495154185022027,85.07000000000001,1377.0,1992.0,0.30873493975903615,615.0,3.5799999999999983,11.35,0.684581497797357,7.770000000000001
60,592.96,319.2,0.8576441102756894,273.76000000000005,1.185678629,0.95,0.24808276736842122,0.23567862900000014,72.42,6.27,10.550239234449762,66.15,1431.0,1742.0,0.17853042479908152,311.0,27.58,6.27,3.3987240829346095,21.31
299,833.37,483.99,0.7218744188929523,349.38,1.434872866,1.15,0.24771553565217408,0.28487286600000017,97.24,10.14,8.58974358974359,87.1,891.0,1192.0,0.2525167785234899,301.0,2.760000000000005,10.14,0.7278106508875735,7.3799999999999955
40,1073.47,549.47,0.9536462409230713,524.0,1.614865809,1.05,0.5379674371428572,0.564865809,93.87,22.2,3.2283783783783786,71.67,1046.0,2051.0,0.4900048756704047,1005.0,6.1299999999999955,22.2,0.723873873873874,16.070000000000004
30,1225.04,555.41,1.2056498802686304,669.63,0.7514856658,0.38,0.977593857368421,0.3714856658,95.23,13.58,6.012518409425626,81.65,783.0,1163.0,0.32674118658641443,380.0,4.769999999999996,13.58,0.6487481590574377,8.810000000000004
290,956.41,507.44,0.8847745546271479,448.96999999999997,1.564465031,1.08,0.4485787324074072,0.4844650309999998,64.12,19.53,2.283154121863799,44.59,1267.0,2160.0,0.4134259259259259,893.0,35.879999999999995,19.53,0.8371735791090626,16.349999999999994
50,547.85,291.69,0.8781926017347185,256.16,1.293839555,1.0,0.2938395549999999,0.2938395549999999,95.6,7.75,11.33548387096774,87.85,2006.0,2589.0,0.22518346852066434,583.0,4.400000000000006,7.75,0.4322580645161283,3.3499999999999943
80,692.99,373.77,0.8540546325280254,319.22,1.292832508,1.03,0.2551771922330097,0.262832508,97.18,5.92,15.415540540540542,91.26,1001.0,1214.0,0.17545304777594728,213.0,2.819999999999993,5.92,0.5236486486486498,3.1000000000000068
90,763.63,357.98,1.1331638639030113,405.65,0.7045296806,0.52,0.35486477038461534,0.18452968059999997,96.77,6.55,13.774045801526718,90.22,1109.0,1370.0,0.1905109489051095,261.0,3.230000000000004,6.55,0.506870229007633,3.319999999999996
70,705.25,305.76,1.306547619047619,399.49,0.6065792272,0.36,0.6849422977777779,0.24657922720000003,69.04,6.79,9.167893961708396,62.25000000000001,1466.0,1931.0,0.24080787156913516,465.0,30.959999999999994,6.79,3.5596465390279817,24.169999999999995
120,890.37,410.63,1.1683023646591824,479.74,0.7960061547,0.51,0.5607963817647059,0.2860061547,96.21,11.43,7.417322834645669,84.78,1260.0,1797.0,0.2988313856427379,537.0,3.7900000000000063,11.43,0.6684164479440065,7.6399999999999935
170,684.82,355.45,0.9266282177521453,329.37000000000006,1.273750767,1.02,0.24877526176470577,0.2537507669999999,95.08,8.72,9.90366972477064,86.36,1407.0,1906.0,0.26180482686253936,499.0,4.920000000000002,8.72,0.4357798165137613,3.799999999999999
110,785.23,396.22,0.9818030387158648,389.01,1.258828623,1.07,0.17647534859813085,0.18882862300000003,95.74,13.93,5.872936109117014,81.81,1593.0,2467.0,0.35427644912849615,874.0,4.260000000000005,13.93,0.6941852117731511,9.669999999999995
140,966.98,496.69,0.9468481346513923,470.29,1.446999938,1.13,0.280530918584071,0.31699993800000015,95.47,20.35,3.691400491400491,75.12,1281.0,2283.0,0.43889618922470436,1002.0,4.530000000000001,20.35,0.7773955773955774,15.82
